ID ANSSI,Titre ANSSI,Type,Date de publication,Lien,Identifiant CVE,Score CVSS,Base Severity,Type CWE,Score EPSS,Description,Éditeur (Vendor),Produit,Versions affectées
CERTFR-2024-ALE-001,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),alerte,2024-01-11,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,CVE-2024-21893,8.2,HIGH,Non disponible,0.943190000,"A server-side request forgery vulnerability in the SAML component of Ivanti Connect Secure (9.x, 22.x) and Ivanti Policy Secure (9.x, 22.x) and Ivanti Neurons for ZTA allows an attacker to access certain restricted resources without authentication.",Ivanti,ICS,"9.1R18, 22.6R2"
CERTFR-2024-ALE-001,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),alerte,2024-01-11,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,CVE-2024-21893,8.2,HIGH,Non disponible,0.943190000,"A server-side request forgery vulnerability in the SAML component of Ivanti Connect Secure (9.x, 22.x) and Ivanti Policy Secure (9.x, 22.x) and Ivanti Neurons for ZTA allows an attacker to access certain restricted resources without authentication.",Ivanti,IPS,"9.1R18, 22.6R1"
CERTFR-2024-ALE-001,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),alerte,2024-01-11,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,CVE-2024-22024,8.3,HIGH,Non disponible,0.942490000,"An XML external entity or XXE vulnerability in the SAML component of Ivanti Connect Secure (9.x, 22.x), Ivanti Policy Secure (9.x, 22.x) and ZTA gateways which allows an attacker to access certain restricted resources without authentication.",Ivanti,ICS,"9.1R14.5, 9.1R17.3, 9.1R18.4, 22.1R6.1, 22.2R4.1, 22.3R1.1, 22.4R1.1, 22.5R1.2, 22.6R1.1, 22.4R2.3, 22.5R2.3, 22.6R2.2"
CERTFR-2024-ALE-001,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),alerte,2024-01-11,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,CVE-2024-22024,8.3,HIGH,Non disponible,0.942490000,"An XML external entity or XXE vulnerability in the SAML component of Ivanti Connect Secure (9.x, 22.x), Ivanti Policy Secure (9.x, 22.x) and ZTA gateways which allows an attacker to access certain restricted resources without authentication.",Ivant ,ICS,9.1R15.3
CERTFR-2024-ALE-001,[MàJ] Multiples vulnérabilités dans Ivanti Connect Secure et Policy Secure Gateways (11 janvier 2024),alerte,2024-01-11,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-001/,CVE-2024-22024,8.3,HIGH,Non disponible,0.942490000,"An XML external entity or XXE vulnerability in the SAML component of Ivanti Connect Secure (9.x, 22.x), Ivanti Policy Secure (9.x, 22.x) and ZTA gateways which allows an attacker to access certain restricted resources without authentication.",Ivanti,IPS,"9.1R18.4, 9.1R17.3, 22.5R1.2"
CERTFR-2024-ALE-002,[MàJ] Multiples Vulnérabilités dans GitLab (12 janvier 2024),alerte,2024-01-12,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-002/,CVE-2023-7028,10,CRITICAL,CWE-640,0.934260000,"An issue has been discovered in GitLab CE/EE affecting all versions from 16.1 prior to 16.1.6, 16.2 prior to 16.2.9, 16.3 prior to 16.3.7, 16.4 prior to 16.4.5, 16.5 prior to 16.5.6, 16.6 prior to 16.6.4, and 16.7 prior to 16.7.2 in which user account password reset emails could be delivered to an unverified email address.",GitLab,GitLab,"16.1, 16.2, 16.3, 16.4, 16.5, 16.6, 16.7"
CERTFR-2024-ALE-002,[MàJ] Multiples Vulnérabilités dans GitLab (12 janvier 2024),alerte,2024-01-12,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-002/,CVE-2024-0402,9.9,CRITICAL,CWE-22,0.445900000,"An issue has been discovered in GitLab CE/EE affecting all versions from 16.0 prior to 16.6.6, 16.7 prior to 16.7.4, and 16.8 prior to 16.8.1 which allows an authenticated user to write files to arbitrary locations on the GitLab server while creating a workspace.",GitLab,GitLab,"16.0, 16.6, 16.7, 16.8"
CERTFR-2024-ALE-003,[MàJ] Incident affectant les solutions AnyDesk (05 février 2024),alerte,2024-02-05,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-003/,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A
CERTFR-2024-ALE-004,[MàJ] Vulnérabilité dans Fortinet FortiOS (09 février 2024),alerte,2024-02-09,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-004/,CVE-2024-21762,9.6,CRITICAL,CWE-787,0.926370000,"A out-of-bounds write in Fortinet FortiOS versions 7.4.0 through 7.4.2, 7.2.0 through 7.2.6, 7.0.0 through 7.0.13, 6.4.0 through 6.4.14, 6.2.0 through 6.2.15, 6.0.0 through 6.0.17, FortiProxy versions 7.4.0 through 7.4.2, 7.2.0 through 7.2.8, 7.0.0 through 7.0.14, 2.0.0 through 2.0.13, 1.2.0 through 1.2.13, 1.1.0 through 1.1.6, 1.0.0 through 1.0.7 allows attacker to execute unauthorized code or commands via specifically crafted requests",Fortinet,FortiProxy,"7.4.0, 7.2.0, 7.0.0, 2.0.0, 1.2.0, 1.1.0, 1.0.0"
CERTFR-2024-ALE-004,[MàJ] Vulnérabilité dans Fortinet FortiOS (09 février 2024),alerte,2024-02-09,https://www.cert.ssi.gouv.fr/alerte/CERTFR-2024-ALE-004/,CVE-2024-21762,9.6,CRITICAL,CWE-787,0.926370000,"A out-of-bounds write in Fortinet FortiOS versions 7.4.0 through 7.4.2, 7.2.0 through 7.2.6, 7.0.0 through 7.0.13, 6.4.0 through 6.4.14, 6.2.0 through 6.2.15, 6.0.0 through 6.0.17, FortiProxy versions 7.4.0 through 7.4.2, 7.2.0 through 7.2.8, 7.0.0 through 7.0.14, 2.0.0 through 2.0.13, 1.2.0 through 1.2.13, 1.1.0 through 1.1.6, 1.0.0 through 1.0.7 allows attacker to execute unauthorized code or commands via specifically crafted requests",Fortinet,FortiOS,"7.4.0, 7.2.0, 7.0.0, 6.4.0, 6.2.0, 6.0.0"
